claim_id;activity_instance;activity;Inicio;Fin;resource;result;type;value;agent;.order
5;10047;File Claim;13-01-2008;13-01-2008;Client x;NA;Car;605;Agent B;4954
5;10048;Check Contract;16-01-2008;17-01-2008;Manager 3;OK;NA;NA;NA;4955
5;10049;Franchise?;17-01-2008;17-01-2008;Manager 3;By client;NA;NA;NA;4956
5;10050;Covered?;19-01-2008;19-01-2008;Manager 3;OK;NA;NA;NA;4957
5;10051;Acceptance Decision;24-01-2008;24-01-2008;Manager 3;NA;NA;NA;NA;4958
5;10052;Start Investigation;05-02-2008;05-02-2008;Assistant 8;NA;NA;NA;NA;4959
5;10053;Appoint Lawyer;14-02-2008;14-02-2008;Manager 3;NA;NA;NA;NA;4960
5;10054;Appoint Expert;14-02-2008;14-02-2008;Manager 3;NA;NA;NA;NA;4961
5;10055;Receive Conclusion Expert;06-03-2008;06-03-2008;Assistant 8;NA;NA;NA;NA;4962
5;10056;Receive Conclusion Lawyer;16-03-2008;16-03-2008;Assistant 8;NA;NA;NA;NA;4963
5;10057;Pay Back Decision;26-03-2008;27-03-2008;Manager 3;NA;NA;NA;NA;4964
5;10058;Pay Claim;11-05-2008;11-05-2008;Assistant 8;NA;NA;NA;NA;4965
6;10059;Accident;06-01-2008;06-01-2008;Client x;NA;NA;NA;NA;4966
6;10060;File Claim;14-01-2008;14-01-2008;Client x;NA;Car;610;Agent C;4967
6;10061;Check Contract;17-01-2008;18-01-2008;Manager 3;OK;NA;NA;NA;4968
6;10062;Franchise?;18-01-2008;18-01-2008;Manager 3;By client;NA;NA;NA;4969
6;10063;Covered?;20-01-2008;20-01-2008;Manager 3;OK;NA;NA;NA;4970
6;10064;Acceptance Decision;25-01-2008;25-01-2008;Manager 3;NA;NA;NA;NA;4971
6;10065;Start Investigation;06-02-2008;06-02-2008;Assistant 9;NA;NA;NA;NA;4972
6;10066;Appoint Lawyer;15-02-2008;15-02-2008;Manager 3;NA;NA;NA;NA;4973
6;10067;Appoint Expert;15-02-2008;15-02-2008;Manager 3;NA;NA;NA;NA;4974
6;10068;Receive Conclusion Expert;07-03-2008;07-03-2008;Assistant 9;NA;NA;NA;NA;4975
6;10069;Receive Conclusion Lawyer;17-03-2008;17-03-2008;Assistant 9;NA;NA;NA;NA;4976
6;10070;Pay Back Decision;27-03-2008;28-03-2008;Manager 3;NA;NA;NA;NA;4977
6;10071;Pay Claim;12-05-2008;12-05-2008;Assistant 9;NA;NA;NA;NA;4978
7;10072;Accident;07-01-2008;07-01-2008;Client x;NA;NA;NA;NA;4979
7;10073;File Claim;15-01-2008;15-01-2008;Client x;NA;Car;615;Agent D;4980
7;10074;Check Contract;18-01-2008;19-01-2008;Assistant 9;OK;NA;NA;NA;4981
7;10075;Franchise?;19-01-2008;19-01-2008;Assistant 9;By client;NA;NA;NA;4982
7;10076;Covered?;21-01-2008;21-01-2008;Assistant 9;OK;NA;NA;NA;4983
7;10077;Acceptance Decision;26-01-2008;26-01-2008;Manager 4;NA;NA;NA;NA;4984
7;10078;Start Investigation;07-02-2008;07-02-2008;Assistant 9;NA;NA;NA;NA;4985
7;10079;Appoint Lawyer;16-02-2008;16-02-2008;Manager 4;NA;NA;NA;NA;4986
7;10080;Appoint Expert;16-02-2008;16-02-2008;Manager 4;NA;NA;NA;NA;4987
7;10081;Receive Conclusion Expert;08-03-2008;08-03-2008;Assistant 9;NA;NA;NA;NA;4988
7;10082;Receive Conclusion Lawyer;18-03-2008;18-03-2008;Assistant 9;NA;NA;NA;NA;4989
7;10083;Pay Back Decision;28-03-2008;29-03-2008;Manager 4;NA;NA;NA;NA;4990
7;10084;Pay Claim;13-05-2008;13-05-2008;Assistant 9;NA;NA;NA;NA;4991
8;10085;Accident;08-01-2008;08-01-2008;Client x;NA;NA;NA;NA;4992
8;10086;File Claim;16-01-2008;16-01-2008;Client x;NA;Car;620;Agent E;4993
8;10087;Check Contract;19-01-2008;20-01-2008;Assistant 10;OK;NA;NA;NA;4994
8;10088;Franchise?;20-01-2008;20-01-2008;Assistant 10;By client;NA;NA;NA;4995
8;10089;Covered?;22-01-2008;22-01-2008;Assistant 10;OK;NA;NA;NA;4996
8;10090;Acceptance Decision;27-01-2008;27-01-2008;Manager 4;NA;NA;NA;NA;4997
8;10091;Start Investigation;08-02-2008;08-02-2008;Assistant 10;NA;NA;NA;NA;4998
8;10092;Appoint Lawyer;17-02-2008;17-02-2008;Manager 4;NA;NA;NA;NA;4999
8;10093;Appoint Expert;17-02-2008;17-02-2008;Manager 4;NA;NA;NA;NA;5000
8;10094;Receive Conclusion Expert;09-03-2008;09-03-2008;Assistant 10;NA;NA;NA;NA;5001
8;10095;Receive Conclusion Lawyer;19-03-2008;19-03-2008;Assistant 10;NA;NA;NA;NA;5002
8;10096;Pay Back Decision;29-03-2008;30-03-2008;Manager 4;NA;NA;NA;NA;5003
8;10097;Pay Claim;14-05-2008;14-05-2008;Assistant 10;NA;NA;NA;NA;5004
9;10098;Accident;09-01-2008;09-01-2008;Client x;NA;NA;NA;NA;5005
9;10099;File Claim;17-01-2008;17-01-2008;Client x;NA;Car;625;Agent F;5006
9;10100;Check Contract;20-01-2008;21-01-2008;Assistant 11;OK;NA;NA;NA;5007
9;10101;Franchise?;21-01-2008;21-01-2008;Assistant 11;By client;NA;NA;NA;5008
9;10102;Covered?;23-01-2008;23-01-2008;Assistant 11;OK;NA;NA;NA;5009
9;10103;Acceptance Decision;28-01-2008;28-01-2008;Manager 4;NA;NA;NA;NA;5010
9;10104;Start Investigation;09-02-2008;09-02-2008;Assistant 11;NA;NA;NA;NA;5011
9;10105;Appoint Lawyer;18-02-2008;18-02-2008;Manager 4;NA;NA;NA;NA;5012
9;10106;Appoint Expert;18-02-2008;18-02-2008;Manager 4;NA;NA;NA;NA;5013
9;10107;Receive Conclusion Expert;10-03-2008;10-03-2008;Assistant 11;NA;NA;NA;NA;5014
9;10108;Receive Conclusion Lawyer;20-03-2008;20-03-2008;Assistant 11;NA;NA;NA;NA;5015
9;10109;Pay Back Decision;30-03-2008;31-03-2008;Manager 4;NA;NA;NA;NA;5016
9;10110;Pay Claim;15-05-2008;15-05-2008;Assistant 11;NA;NA;NA;NA;5017
10;10111;Accident;10-01-2008;10-01-2008;Client x;NA;NA;NA;NA;5018
10;10112;File Claim;18-01-2008;18-01-2008;Client x;NA;Car;630;Agent G;5019
10;10113;Check Contract;21-01-2008;22-01-2008;Assistant 1;OK;NA;NA;NA;5020
10;10114;Franchise?;22-01-2008;22-01-2008;Assistant 1;By client;NA;NA;NA;5021
10;10115;Covered?;24-01-2008;24-01-2008;Assistant 1;OK;NA;NA;NA;5022
10;10116;Acceptance Decision;29-01-2008;29-01-2008;Manager 2;NA;NA;NA;NA;5023
10;10117;Start Investigation;10-02-2008;10-02-2008;Assistant 1;NA;NA;NA;NA;5024
10;10118;Appoint Lawyer;19-02-2008;19-02-2008;Manager 2;NA;NA;NA;NA;5025
10;10119;Appoint Expert;19-02-2008;19-02-2008;Manager 2;NA;NA;NA;NA;5026
10;10120;Receive Conclusion Expert;11-03-2008;11-03-2008;Assistant 1;NA;NA;NA;NA;5027
10;10121;Receive Conclusion Lawyer;21-03-2008;21-03-2008;Assistant 1;NA;NA;NA;NA;5028
10;10122;Pay Back Decision;31-03-2008;01-04-2008;Manager 2;NA;NA;NA;NA;5029
10;10123;Pay Claim;16-05-2008;16-05-2008;Assistant 1;NA;NA;NA;NA;5030
11;10124;Accident;11-01-2008;11-01-2008;Client x;NA;NA;NA;NA;5031
11;10125;File Claim;19-01-2008;19-01-2008;Client x;NA;Car;635;Agent H;5032
11;10126;Check Contract;22-01-2008;23-01-2008;Assistant 3;OK;NA;NA;NA;5033
11;10127;Franchise?;23-01-2008;23-01-2008;Assistant 3;By client;NA;NA;NA;5034
11;10128;Covered?;25-01-2008;25-01-2008;Assistant 3;OK;NA;NA;NA;5035
11;10129;Acceptance Decision;30-01-2008;30-01-2008;Manager 2;NA;NA;NA;NA;5036
11;10130;Start Investigation;11-02-2008;11-02-2008;Assistant 3;NA;NA;NA;NA;5037
11;10131;Appoint Lawyer;20-02-2008;20-02-2008;Manager 2;NA;NA;NA;NA;5038
11;10132;Appoint Expert;20-02-2008;20-02-2008;Manager 2;NA;NA;NA;NA;5039
11;10133;Receive Conclusion Expert;12-03-2008;12-03-2008;Assistant 3;NA;NA;NA;NA;5040
11;10134;Receive Conclusion Lawyer;22-03-2008;22-03-2008;Assistant 3;NA;NA;NA;NA;5041
11;10135;Pay Back Decision;01-04-2008;02-04-2008;Manager 2;NA;NA;NA;NA;5042
11;10136;Pay Claim;17-05-2008;17-05-2008;Assistant 3;NA;NA;NA;NA;5043
12;10137;Accident;12-01-2008;12-01-2008;Client x;NA;NA;NA;NA;5044
12;10138;File Claim;20-01-2008;20-01-2008;Client x;NA;House;650;Agent E;5045
12;10139;Check Contract;23-01-2008;24-01-2008;Assistant 3;OK;NA;NA;NA;5046
12;10140;Franchise?;24-01-2008;24-01-2008;Assistant 3;By client;NA;NA;NA;5047
12;10141;Covered?;26-01-2008;26-01-2008;Assistant 3;OK;NA;NA;NA;5048
12;10142;Acceptance Decision;31-01-2008;31-01-2008;Manager 2;NA;NA;NA;NA;5049
12;10143;Start Investigation;12-02-2008;12-02-2008;Assistant 3;NA;NA;NA;NA;5050
12;10144;Appoint Lawyer;21-02-2008;21-02-2008;Manager 2;NA;NA;NA;NA;5051
12;10145;Appoint Expert;21-02-2008;21-02-2008;Manager 2;NA;NA;NA;NA;5052
12;10146;Receive Conclusion Expert;13-03-2008;13-03-2008;Assistant 3;NA;NA;NA;NA;5053
12;10147;Receive Conclusion Lawyer;23-03-2008;23-03-2008;Assistant 3;NA;NA;NA;NA;5054
12;10148;Pay Back Decision;02-04-2008;03-04-2008;Manager 2;NA;NA;NA;NA;5055
12;10149;Pay Claim;18-05-2008;18-05-2008;Assistant 3;NA;NA;NA;NA;5056
13;10150;Accident;13-01-2008;13-01-2008;Client x;NA;NA;NA;NA;5057
13;10151;File Claim;21-01-2008;21-01-2008;Client x;NA;Health;600;Agent C;5058
13;10152;Check Contract;24-01-2008;25-01-2008;Assistant 4;OK;NA;NA;NA;5059
13;10153;Franchise?;25-01-2008;25-01-2008;Assistant 4;By client;NA;NA;NA;5060
13;10154;Covered?;27-01-2008;27-01-2008;Assistant 4;OK;NA;NA;NA;5061
13;10155;Acceptance Decision;01-02-2008;01-02-2008;Manager 2;NA;NA;NA;NA;5062
13;10156;Start Investigation;13-02-2008;13-02-2008;Assistant 4;NA;NA;NA;NA;5063
13;10157;Appoint Lawyer;22-02-2008;22-02-2008;Manager 2;NA;NA;NA;NA;5064
13;10158;Appoint Expert;22-02-2008;22-02-2008;Manager 2;NA;NA;NA;NA;5065
13;10159;Receive Conclusion Expert;14-03-2008;14-03-2008;Assistant 4;NA;NA;NA;NA;5066
13;10160;Receive Conclusion Lawyer;24-03-2008;24-03-2008;Assistant 4;NA;NA;NA;NA;5067
13;10161;Pay Back Decision;03-04-2008;04-04-2008;Manager 2;NA;NA;NA;NA;5068
13;10162;Pay Claim;19-05-2008;19-05-2008;Assistant 4;NA;NA;NA;NA;5069
14;10163;Accident;14-01-2008;14-01-2008;Client x;NA;NA;NA;NA;5070
14;10164;File Claim;22-01-2008;22-01-2008;Client x;NA;Health;650;Agent D;5071
14;10165;Check Contract;25-01-2008;26-01-2008;Assistant 4;OK;NA;NA;NA;5072
14;10166;Franchise?;26-01-2008;26-01-2008;Assistant 4;By client;NA;NA;NA;5073
14;10167;Covered?;28-01-2008;28-01-2008;Assistant 4;OK;NA;NA;NA;5074
14;10168;Acceptance Decision;02-02-2008;02-02-2008;Manager 2;NA;NA;NA;NA;5075
14;10169;Start Investigation;14-02-2008;14-02-2008;Assistant 4;NA;NA;NA;NA;5076
14;10170;Appoint Lawyer;23-02-2008;23-02-2008;Manager 2;NA;NA;NA;NA;5077
14;10171;Appoint Expert;23-02-2008;23-02-2008;Manager 2;NA;NA;NA;NA;5078
14;10172;Receive Conclusion Expert;15-03-2008;15-03-2008;Assistant 4;NA;NA;NA;NA;5079
14;10173;Receive Conclusion Lawyer;25-03-2008;25-03-2008;Assistant 4;NA;NA;NA;NA;5080
14;10174;Pay Back Decision;04-04-2008;05-04-2008;Manager 2;NA;NA;NA;NA;5081
14;10175;Pay Claim;20-05-2008;20-05-2008;Assistant 4;NA;NA;NA;NA;5082
15;10176;Accident;15-01-2008;15-01-2008;Client x;NA;NA;NA;NA;5083
15;10177;File Claim;23-01-2008;23-01-2008;Client x;NA;Car;640;Agent H;5084
15;10178;Check Contract;26-01-2008;27-01-2008;Assistant 5;OK;NA;NA;NA;5085
15;10179;Franchise?;27-01-2008;27-01-2008;Assistant 5;By client;NA;NA;NA;5086
15;10180;Covered?;29-01-2008;29-01-2008;Assistant 5;OK;NA;NA;NA;5087
15;10181;Acceptance Decision;03-02-2008;03-02-2008;Manager 2;NA;NA;NA;NA;5088
15;10182;Start Investigation;15-02-2008;15-02-2008;Assistant 5;NA;NA;NA;NA;5089
15;10183;Appoint Lawyer;24-02-2008;24-02-2008;Manager 2;NA;NA;NA;NA;5090
15;10184;Appoint Expert;24-02-2008;24-02-2008;Manager 2;NA;NA;NA;NA;5091
15;10185;Receive Conclusion Expert;16-03-2008;16-03-2008;Assistant 5;NA;NA;NA;NA;5092
15;10186;Receive Conclusion Lawyer;26-03-2008;26-03-2008;Assistant 5;NA;NA;NA;NA;5093
15;10187;Pay Back Decision;05-04-2008;06-04-2008;Manager 2;NA;NA;NA;NA;5094
15;10188;Pay Claim;21-05-2008;21-05-2008;Assistant 5;NA;NA;NA;NA;5095
16;10189;Accident;16-01-2008;16-01-2008;Client x;NA;NA;NA;NA;5096
16;10190;File Claim;24-01-2008;24-01-2008;Client x;NA;Car;645;Agent H;5097
16;10191;Check Contract;27-01-2008;28-01-2008;Assistant 5;OK;NA;NA;NA;5098
16;10192;Franchise?;28-01-2008;28-01-2008;Assistant 5;By client;NA;NA;NA;5099
16;10193;Covered?;30-01-2008;30-01-2008;Assistant 5;OK;NA;NA;NA;5100
16;10194;Acceptance Decision;04-02-2008;04-02-2008;Manager 2;NA;NA;NA;NA;5101
16;10195;Start Investigation;16-02-2008;16-02-2008;Assistant 5;NA;NA;NA;NA;5102
16;10196;Appoint Lawyer;25-02-2008;25-02-2008;Manager 2;NA;NA;NA;NA;5103
16;10197;Appoint Expert;25-02-2008;25-02-2008;Manager 2;NA;NA;NA;NA;5104
16;10198;Receive Conclusion Expert;17-03-2008;17-03-2008;Assistant 5;NA;NA;NA;NA;5105
16;10199;Receive Conclusion Lawyer;27-03-2008;27-03-2008;Assistant 5;NA;NA;NA;NA;5106
16;10200;Pay Back Decision;06-04-2008;07-04-2008;Manager 2;NA;NA;NA;NA;5107
16;10201;Pay Claim;22-05-2008;22-05-2008;Assistant 5;NA;NA;NA;NA;5108
17;10202;Accident;17-01-2008;17-01-2008;Client x;NA;NA;NA;NA;5109
17;10203;File Claim;25-01-2008;25-01-2008;Client x;NA;Car;650;Agent H;5110
17;10204;Check Contract;28-01-2008;29-01-2008;Assistant 5;OK;NA;NA;NA;5111
17;10205;Franchise?;29-01-2008;29-01-2008;Assistant 5;By client;NA;NA;NA;5112
17;10206;Covered?;31-01-2008;31-01-2008;Assistant 5;OK;NA;NA;NA;5113
17;10207;Acceptance Decision;05-02-2008;05-02-2008;Manager 2;NA;NA;NA;NA;5114
17;10208;Start Investigation;17-02-2008;17-02-2008;Assistant 5;NA;NA;NA;NA;5115
17;10209;Appoint Lawyer;26-02-2008;26-02-2008;Manager 2;NA;NA;NA;NA;5116
17;10210;Appoint Expert;26-02-2008;26-02-2008;Manager 2;NA;NA;NA;NA;5117
17;10211;Receive Conclusion Expert;18-03-2008;18-03-2008;Assistant 5;NA;NA;NA;NA;5118
17;10212;Receive Conclusion Lawyer;28-03-2008;28-03-2008;Assistant 5;NA;NA;NA;NA;5119
17;10213;Pay Back Decision;07-04-2008;08-04-2008;Manager 2;NA;NA;NA;NA;5120
17;10214;Pay Claim;23-05-2008;23-05-2008;Assistant 5;NA;NA;NA;NA;5121
18;10215;Accident;18-01-2008;18-01-2008;Client x;NA;NA;NA;NA;5122
18;10216;File Claim;26-01-2008;26-01-2008;Client x;NA;Car;655;Agent I;5123
18;10217;Check Contract;29-01-2008;30-01-2008;Assistant 5;OK;NA;NA;NA;5124
18;10218;Franchise?;30-01-2008;30-01-2008;Assistant 5;By client;NA;NA;NA;5125
18;10219;Covered?;01-02-2008;01-02-2008;Assistant 5;OK;NA;NA;NA;5126
18;10220;Acceptance Decision;06-02-2008;06-02-2008;Manager 2;NA;NA;NA;NA;5127
18;10221;Start Investigation;18-02-2008;18-02-2008;Assistant 5;NA;NA;NA;NA;5128
18;10222;Appoint Lawyer;27-02-2008;27-02-2008;Manager 2;NA;NA;NA;NA;5129
18;10223;Appoint Expert;27-02-2008;27-02-2008;Manager 2;NA;NA;NA;NA;5130
18;10224;Receive Conclusion Expert;19-03-2008;19-03-2008;Assistant 5;NA;NA;NA;NA;5131
18;10225;Receive Conclusion Lawyer;29-03-2008;29-03-2008;Assistant 5;NA;NA;NA;NA;5132
18;10226;Pay Back Decision;08-04-2008;09-04-2008;Manager 2;NA;NA;NA;NA;5133
18;10227;Pay Claim;24-05-2008;24-05-2008;Assistant 5;NA;NA;NA;NA;5134
19;10228;Accident;19-01-2008;19-01-2008;Client x;NA;NA;NA;NA;5135
19;10229;File Claim;27-01-2008;27-01-2008;Client x;NA;Car;660;Agent D;5136
19;10230;Check Contract;30-01-2008;31-01-2008;Assistant 5;OK;NA;NA;NA;5137
19;10231;Franchise?;31-01-2008;31-01-2008;Assistant 5;By client;NA;NA;NA;5138
19;10232;Covered?;02-02-2008;02-02-2008;Assistant 5;OK;NA;NA;NA;5139
19;10233;Acceptance Decision;07-02-2008;07-02-2008;Manager 2;NA;NA;NA;NA;5140
19;10234;Start Investigation;19-02-2008;19-02-2008;Assistant 5;NA;NA;NA;NA;5141
19;10235;Appoint Lawyer;28-02-2008;28-02-2008;Manager 2;NA;NA;NA;NA;5142
19;10236;Appoint Expert;28-02-2008;28-02-2008;Manager 2;NA;NA;NA;NA;5143
19;10237;Receive Conclusion Expert;20-03-2008;20-03-2008;Assistant 5;NA;NA;NA;NA;5144
19;10238;Receive Conclusion Lawyer;30-03-2008;30-03-2008;Assistant 5;NA;NA;NA;NA;5145
19;10239;Pay Back Decision;09-04-2008;10-04-2008;Manager 2;NA;NA;NA;NA;5146
19;10240;Pay Claim;25-05-2008;25-05-2008;Assistant 5;NA;NA;NA;NA;5147
20;10241;Accident;20-01-2008;20-01-2008;Client x;NA;NA;NA;NA;5148
20;10242;File Claim;28-01-2008;28-01-2008;Client x;NA;Car;665;Agent E;5149
20;10243;Check Contract;31-01-2008;01-02-2008;Assistant 6;OK;NA;NA;NA;5150
20;10244;Franchise?;01-02-2008;01-02-2008;Assistant 6;By client;NA;NA;NA;5151
20;10245;Covered?;03-02-2008;03-02-2008;Assistant 6;OK;NA;NA;NA;5152
20;10246;Acceptance Decision;08-02-2008;08-02-2008;Manager 2;NA;NA;NA;NA;5153
20;10247;Start Investigation;20-02-2008;20-02-2008;Assistant 6;NA;NA;NA;NA;5154
20;10248;Appoint Lawyer;01-03-2008;01-03-2008;Manager 2;NA;NA;NA;NA;5155
20;10249;Appoint Expert;01-03-2008;01-03-2008;Manager 2;NA;NA;NA;NA;5156
20;10250;Receive Conclusion Expert;21-03-2008;21-03-2008;Assistant 6;NA;NA;NA;NA;5157
20;10251;Receive Conclusion Lawyer;31-03-2008;31-03-2008;Assistant 6;NA;NA;NA;NA;5158
20;10252;Pay Back Decision;10-04-2008;11-04-2008;Manager 2;NA;NA;NA;NA;5159
20;10253;Pay Claim;26-05-2008;26-05-2008;Assistant 6;NA;NA;NA;NA;5160
21;10254;Accident;21-01-2008;21-01-2008;Client x;NA;NA;NA;NA;5161
21;10255;File Claim;29-01-2008;29-01-2008;Client x;NA;House;800;Agent F;5162
21;10256;Check Contract;01-02-2008;02-02-2008;Assistant 6;OK;NA;NA;NA;5163
21;10257;Franchise?;02-02-2008;02-02-2008;Assistant 6;By client;NA;NA;NA;5164
21;10258;Covered?;04-02-2008;04-02-2008;Assistant 6;NOK;NA;NA;NA;5165
21;10259;Acceptance Decision;09-02-2008;09-02-2008;Manager 2;NA;NA;NA;NA;5166
21;10260;Reject Claim;12-02-2008;12-02-2008;Manager 2;NA;NA;NA;NA;5167
22;10261;Accident;22-01-2008;22-01-2008;Client x;NA;NA;NA;NA;5168
22;10262;File Claim;30-01-2008;30-01-2008;Client x;NA;Health;700;Agent E;5169
22;10263;Check Contract;02-02-2008;03-02-2008;Assistant 6;OK;NA;NA;NA;5170
22;10264;Franchise?;03-02-2008;03-02-2008;Assistant 6;By client;NA;NA;NA;5171
22;10265;Covered?;05-02-2008;05-02-2008;Assistant 6;OK;NA;NA;NA;5172
22;10266;Acceptance Decision;10-02-2008;10-02-2008;Manager 2;NA;NA;NA;NA;5173
22;10267;Start Investigation;22-02-2008;22-02-2008;Assistant 6;NA;NA;NA;NA;5174
22;10268;Appoint Lawyer;03-03-2008;03-03-2008;Manager 2;NA;NA;NA;NA;5175
22;10269;Appoint Expert;03-03-2008;03-03-2008;Manager 2;NA;NA;NA;NA;5176
22;10270;Receive Conclusion Expert;23-03-2008;23-03-2008;Assistant 6;NA;NA;NA;NA;5177
22;10271;Receive Conclusion Lawyer;02-04-2008;02-04-2008;Assistant 6;NA;NA;NA;NA;5178
22;10272;Pay Back Decision;12-04-2008;13-04-2008;Manager 2;NA;NA;NA;NA;5179
22;10273;Pay Claim;28-05-2008;28-05-2008;Assistant 6;NA;NA;NA;NA;5180
23;10274;Accident;23-01-2008;23-01-2008;Client x;NA;NA;NA;NA;5181
23;10275;File Claim;31-01-2008;31-01-2008;Client x;NA;Health;750;Agent F;5182
23;10276;Check Contract;03-02-2008;04-02-2008;Assistant 7;OK;NA;NA;NA;5183
23;10277;Franchise?;04-02-2008;04-02-2008;Assistant 7;By client;NA;NA;NA;5184
23;10278;Covered?;06-02-2008;06-02-2008;Assistant 7;OK;NA;NA;NA;5185
23;10279;Acceptance Decision;11-02-2008;11-02-2008;Manager 2;NA;NA;NA;NA;5186
23;10280;Start Investigation;23-02-2008;23-02-2008;Assistant 7;NA;NA;NA;NA;5187
23;10281;Appoint Lawyer;04-03-2008;04-03-2008;Manager 2;NA;NA;NA;NA;5188
23;10282;Appoint Expert;04-03-2008;04-03-2008;Manager 2;NA;NA;NA;NA;5189
23;10283;Receive Conclusion Expert;24-03-2008;24-03-2008;Assistant 7;NA;NA;NA;NA;5190
23;10284;Receive Conclusion Lawyer;03-04-2008;03-04-2008;Assistant 7;NA;NA;NA;NA;5191
23;10285;Pay Back Decision;13-04-2008;14-04-2008;Manager 2;NA;NA;NA;NA;5192
23;10286;Pay Claim;29-05-2008;29-05-2008;Assistant 7;NA;NA;NA;NA;5193
24;10287;Accident;24-01-2008;24-01-2008;Client x;NA;NA;NA;NA;5194
24;10288;File Claim;01-02-2008;01-02-2008;Client x;NA;Car;670;Agent F;5195
24;10289;Check Contract;04-02-2008;05-02-2008;Assistant 7;OK;NA;NA;NA;5196
